R#,NAME,TOTAL,POS,TEAM,GP,PTS,TREB,AST,STL,BLK,FGM,FTM,TO,DD,TD
1,Joel Embiid,80,C,PHI,39,34.7,11,5.6,1.2,1.7,11.5,10.2,3.8,0.8,0.1
2,Luka Doncic,77.5,PG,DAL,70,33.9,9.2,9.8,1.4,0.5,11.5,6.8,4,0.7,0.3
3,Giannis Antetokounmpo,73.1,"PF,C",MIL,73,30.4,11.5,6.5,1.2,1.1,11.5,7,3.4,0.8,0.1
4,Nikola Jokic,71.8,C,DEN,79,26.4,12.4,9,1.4,0.9,10.4,4.5,3,0.9,0.3
5,Anthony Davis,64.6,"PF,C",LAL,76,24.7,12.6,3.5,1.2,2.3,9.4,5.5,2.1,0.8,0
6,Shai Gilgeous-Alexander,64.1,"PG,SG",OKC,75,30.1,5.5,6.2,2,0.9,10.6,7.6,2.2,0.1,0
7,Domantas Sabonis,59.8,"PF,C",SAC,82,19.4,13.7,8.2,0.9,0.6,7.7,3.6,3.3,0.9,0.3
8,LeBron James,58.4,"SF,PF",LAL,71,25.7,7.3,8.3,1.3,0.5,9.7,4.3,3.5,0.4,0.1
9,Jayson Tatum,56.8,"SF,PF",BOS,74,26.9,8.1,4.9,1,0.6,9.1,5.6,2.5,0.3,0
10,Victor Wembanyama,56.8,"PF,C",SA,71,21.4,10.6,3.9,1.2,3.6,7.8,4.1,3.6,0.6,0
11,Kevin Durant,55.5,"SF,PF",PHO,75,27.1,6.6,5,0.9,1.2,10,4.8,3.2,0.2,0
12,Jalen Brunson,55.1,PG,NY,77,28.7,3.6,6.7,0.9,0.2,10.3,5.5,2.4,0.1,0
13,Trae Young,55,PG,ATL,55,25.3,2.7,10.6,1.3,0.2,7.9,6.3,4.3,0.7,0
14,Devin Booker,54.9,"PG,SG,SF",PHO,68,27.1,4.5,6.9,0.9,0.4,9.4,6,2.6,0.2,0
15,Ja Morant,54.8,PG,MEM,9,25.1,5.6,8.1,0.8,0.6,8.9,5.8,3,0.3,0
16,Donovan Mitchell,54.3,"PG,SG",CLE,55,26.6,5.1,6.1,1.8,0.5,9.2,5,2.8,0.1,0
17,De'Aaron Fox,53.4,PG,SAC,74,26.6,4.6,5.6,2,0.4,9.7,4.2,2.6,0.1,0
18,Julius Randle,52,PF,NY,46,24,9.2,5,0.5,0.3,8.6,5.1,3.5,0.4,0
19,Anthony Edwards,51.9,"SG,SF",MIN,79,25.9,5.4,5.1,1.3,0.5,9.1,5.4,3.1,0.1,0
20,Tyrese Maxey,51.4,"PG,SG",PHI,70,25.9,3.7,6.2,1,0.5,9.1,4.7,1.7,0.1,0
21,Alperen Sengün,51.4,C,HOU,63,21.1,9.3,5,1.2,0.7,8.4,3.9,2.6,0.5,0
22,Kyrie Irving,51.1,"PG,SG",DAL,58,25.6,5,5.2,1.3,0.5,9.7,3.3,1.8,0.1,0
23,LaMelo Ball,51.1,"PG,SG",CHA,22,23.9,5.1,8,1.8,0.2,8.3,4.1,3.8,0.3,0
24,Scottie Barnes,50.8,"SG,SF,PF",TOR,60,19.9,8.2,6.1,1.3,1.5,7.5,3.3,2.8,0.4,0.1
25,DeMar DeRozan,50.6,"SG,SF,PF",CHI,79,24,4.3,5.3,1.1,0.6,8.2,6.6,1.7,0.1,0
